"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"David Mundell ","@DavidMundellDCT","Conservative","Dumfriesshire, Clydesdale & Tweeddale",16668,0
"Nigel Huddleston ","@HuddlestonNigel","Conservative","Mid Worcestershire",16616,5
"Peter Grant ","@PeterGrantMP","Scottish National Party","Glenrothes",16457,-3
"Anna McMorrin","@AnnaMcMorrin","Labour","Cardiff North",16387,-1
"Margaret Ferrier ","@MargaretFerrier","Independent","Rutherglen and Hamilton West",16372,2
"Adam Afriyie ","@AdamAfriyie","Conservative","Windsor",16358,-1
"Mims Davies ","@mimsdavies","Conservative","Mid Sussex",16301,-3
"Chris Stephens ","@ChrisStephens","Scottish National Party","Glasgow South West",16296,6
"Abena Oppong-Asare","@abenaopp","Labour","Erith and Thamesmead",16166,-1
"Peter Dowd ","@Peter_Dowd","Labour","Bootle",16150,3
"Joy Morrissey","@joymorrissey","Conservative","Beaconsfield",16123,0
"Wendy Morton ","@morton_wendy","Conservative","Aldridge-Brownhills",16090,16
"Drew Hendry ","@drewhendrySNP","Scottish National Party","Inverness, Nairn, Badenoch and Strathspey",15965,-4
"Alec Shelbrooke ","@AlecShelbrooke","Conservative","Elmet and Rothwell",15892,1
"Mark Garnier ","@Mark4WyreForest","Conservative","Wyre Forest",15882,5
"David T. C. Davies ","@DavidTCDavies","Conservative","Monmouth",15839,2
"Kirsten Oswald ","@kirstenoswald","Scottish National Party","East Renfrewshire",15760,3
"Andrew Jones","@AJonesMP","Conservative","Harrogate and Knaresborough",15690,-1
"Tonia Antoniazzi","@ToniaAntoniazzi","Labour","Gower",15614,1
"Dr Andrew Murrison ","@AWMurrison","Conservative","South West Wiltshire",15605,5
"Neil Gray ","@neilgraysnp","Scottish National Party","Airdrie and Shotts",15560,-2
"Paul Scully ","@scullyp","Conservative","Sutton and Cheam",15477,2
"Geraint Davies ","@GeraintDaviesMP","Labour","Swansea West",15390,-5
"Kelly Tolhurst ","@KellyTolhurst","Conservative","Rochester and Strood",15185,3
"William Wragg ","@William_Wragg","Conservative","Hazel Grove",15181,4
"Kim Johnson","@KimJohnsonMP","Labour","Liverpool, Riverside",15177,1
"Judith Cummins ","@JudithCummins","Labour","Bradford South",14849,2
"Christian Matheson ","@ChrisM4Chester","Labour","City of Chester",14718,2
"Douglas Chapman ","@DougChapmanSNP","Scottish National Party","Dunfermline and West Fife",14712,-2
"David Warburton ","@DJWarburton","Conservative","Somerton and Frome",14687,-2
"Olivia Frances Blake","@_OliviaBlake","Labour","Sheffield, Hallam",14685,-2
"Brendan O'Hara ","@BrendanOHaraMP","Scottish National Party","Argyll and Bute",14684,2
"Stephen McPartland ","@SMcPartland","Conservative","Stevenage",14663,7
"Alicia Kearns","@aliciakearns","Conservative","Rutland and Melton",14626,6
"James Heappey ","@JSHeappey","Conservative","Wells",14553,1
"Wayne David ","@WayneDavid_MP","Labour","Caerphilly",14529,-3
"Gavin Robinson ","@GRobinsonDUP","Democratic Unionist Party","Belfast East",14521,7
"Paula Barker","@PaulaBarkerMP","Labour","Liverpool, Wavertree",14516,3
"Amy Callaghan","@AmyCallaghanSNP","Scottish National Party","East Dunbartonshire",14502,-2
"Gavin Newlands ","@GavNewlandsSNP","Scottish National Party","Paisley and Renfrewshire North",14432,0
"Steve Double ","@stevedouble","Conservative","St Austell and Newquay",14347,4
"Robin Walker ","@WalkerWorcester","Conservative","Worcester",14315,2
"Clive Efford ","@CliveEfford","Labour","Eltham",14220,0
"Bim Afolami","@BimAfolami","Conservative","Hitchin and Harpenden",14177,2
"David Morris ","@davidmorrisml","Conservative","Morecambe and Lunesdale",14148,2
"Christine Jardine","@cajardineMP","Liberal Democrat","Edinburgh West",14102,-3
"David Evennett ","@DavidEvennett","Conservative","Bexleyheath and Crayford",14100,2
"Lisa Cameron","@DrLisaCameronMP","Scottish National Party","East Kilbride, Strathaven and Lesmahagow",14028,1
"Stephen Farry","@StephenFarryMP","Alliance Party of Northern Ireland","North Down",13945,5
"Nigel Adams","@nadams","Conservative","Selby and Ainsty",13918,8
"Rosie Cooper ","@rosie4westlancs","Labour","West Lancashire",13912,0
"Alun Cairns ","@AlunCairns","Conservative","Vale of Glamorgan",13897,-1
"David Jones ","@DavidJonesMP","Conservative","Clwyd West",13886,1
"Edward Leigh ","@EdwardLeighMP","Conservative","Gainsborough",13877,-1
"Rebecca Pow ","@pow_rebecca","Conservative","Taunton Deane",13780,0
"Yvonne Fovargue ","@Y_FovargueMP","Labour","Makerfield",13723,1
"Munira Wilson","@munirawilson","Liberal Democrat","Twickenham",13715,2
"Jessica Morden ","@jessicamordenmp","Labour","Newport East",13708,0
"Nigel Evans","@nigelmp","Conservative","Ribble Valley",13657,-1
"Anne McLaughlin ","@AnneMcLaughlin","Scottish National Party","Glasgow North East",13621,0
"Martin Docherty-Hughes","@MartinJDocherty","Scottish National Party","West Dunbartonshire",13611,10
"Lyn Brown ","@lynbrownmp","Labour","West Ham",13567,4
"Michael Ellis ","@Michael_Ellis1","Conservative","Northampton North",13508,5
"John Stevenson ","@John4Carlisle","Conservative","Carlisle",13383,4
"Stuart C. McDonald ","@Stuart_McDonald","Scottish National Party","Cumbernauld, Kilsyth and Kirkintilloch East",13361,-2
"Stephen Morgan","@StephenMorganMP","Labour","Portsmouth South",13333,19
"Patricia Gibson ","@PGibsonSNP","Scottish National Party","North Ayrshire and Arran",13269,2
"David Rutley ","@DavidRutley","Conservative","Macclesfield",13257,-1
"Alex Chalk ","@AlexChalkChelt","Conservative","Cheltenham",13208,1
"Ronnie Cowan ","@ronniecowan","Scottish National Party","Inverclyde",13205,2
"Chris Philp ","@CPhilpOfficial","Conservative","Croydon South",13106,5
"Mary Foy","@marykfoy","Labour","City of Durham",13070,1
"Marie Rimmer ","@MarieRimmer","Labour","St Helens South and Whiston",13056,0
"Chris Green","@CGreenUK","Conservative","Bolton West",13002,0
"Jamie Stone","@Jamie4North","Liberal Democrat","Caithness, Sutherland and Easter Ross",12931,-6
"Martin Vickers ","@MartinVickers","Conservative","Cleethorpes",12880,5
"Bob Seely","@IoWBobSeely","Conservative","Isle of Wight",12847,-1
"Tom Pursglove ","@VotePursglove","Conservative","Corby",12835,-3
"Jackie Doyle-Price ","@JackieDP","Conservative","Thurrock",12793,-1
"Victoria Prentis ","@VictoriaPrentis","Conservative","Banbury",12633,2
"Gillian Keegan","@GillianKeegan","Conservative","Chichester",12625,4
"Jo Churchill ","@Jochurchill4","Conservative","Bury St Edmunds",12608,3
"David Linden","@DavidLinden","Scottish National Party","Glasgow East",12586,0
"Richard Graham ","@RichardGrahamUK","Conservative","Gloucester",12542,2
"Karin Smyth ","@karinsmyth","Labour","Bristol South",12392,3
"Fleur Anderson","@PutneyFleur","Labour","Putney",12334,-1
"Alan Brown ","@AlanBrownSNP","Scottish National Party","Kilmarnock and Loudoun",12331,1
"Julian Knight ","@julianknight15","Conservative","Solihull",12090,3
"Kate Osborne","@KateOsborneMP","Labour","Jarrow",11980,4
"Marion Fellows ","@marionfellows","Scottish National Party","Motherwell and Wishaw",11891,6
"Robert Syms ","@RobertSyms","Conservative","Poole",11873,1
"Eddie Hughes","@EddieHughes4WN","Conservative","Walsall North",11845,7
"Philip Dunne","@Dunne4Ludlow","Conservative","Ludlow",11785,4
"Kevin Hollinrake ","@kevinhollinrake","Conservative","Thirsk and Malton",11783,1
"John Lamont","@John2Win","Conservative","Berwickshire, Roxburgh and Selkirk",11740,4
"Crispin Blunt ","@CrispinBlunt","Conservative","Reigate",11685,2
"Oliver Heald QC ","@OliverHealdUK","Conservative","North East Hertfordshire",11547,-5
"Nav Mishra","@NavPMishra","Labour","Stockport",11500,7
"Janet Daby","@JanetDaby","Labour","Lewisham East",11459,1
"Craig Mackinlay ","@cmackinlay","Conservative","South Thanet",11433,4
"Mike Kane ","@MikeKaneMP","Labour","Wythenshawe and Sale East",11356,-2
"Christina Rees ","@Rees4Neath","Labour","Neath",11315,3
"Mick Whitley","@MickWhitleyMP","Labour","Birkenhead",11314,2
"Mike Amesbury","@MikeAmesburyMP","Labour","Weaver Vale",11251,0
"Peter Aldous ","@peter_aldous","Conservative","Waveney",11247,6
"Greg Knight ","@GregKnight","Conservative","East Yorkshire",11211,0
"Steve Brine","@BrineMP","Conservative","Winchester",11174,21
"Siobhan Baillie","@Siobhan_Baillie","Conservative","Stroud",10998,-1
"Martyn Day ","@MartynDaySNP","Scottish National Party","Linlithgow and East Falkirk",10955,13
"Rachel Maclean","@redditchrachel","Conservative","Redditch",10863,-4
"John Spellar ","@spellar","Labour","Warley",10850,1
"Karl McCartney ","@karlmccartney","Conservative","Lincoln",10824,0
"Jeff Smith ","@JeffSmithetc","Labour","Manchester, Withington",10779,1
"Danny Kruger","@danny__kruger","Conservative","Devizes",10709,0
"Chris Elmore ","@CPJElmore","Labour","Ogmore",10684,1
"Mark Pritchard ","@MPritchardUK","Conservative","The Wrekin",10639,8
"Alberto Costa ","@AlbertoCostaMP","Conservative","South Leicestershire",10491,0
"Feryal Clark","@FeryalClark","Labour","Enfield North",10461,5
"Michael Tomlinson ","@Michael4MDNP","Conservative","Mid Dorset and North Poole",10291,3
"Jacob Young","@JacobYoungMP","Conservative","Redcar",10235,2
"Bambos Charalambous","@Bambos_MP","Labour","Enfield, Southgate",10157,-1
"Simon Hart ","@Simonhartmp","Conservative","Carmarthen West and South Pembrokeshire",10153,6
"Hywel Williams ","@HywelPlaidCymru","Plaid Cymru","Arfon",10102,1
"Nick Smith ","@BlaenauGwentMP","Labour","Blaenau Gwent",10066,5
"Alan Mak ","@AlanMakMP","Conservative","Havant",10028,1
"Stephanie Peacock","@Steph_Peacock","Labour","Barnsley East",9972,22
"Lee Benjamin Rowley","@Lee4NED","Conservative","North East Derbyshire",9859,1
"Matthew Offord","@Offord4Hendon","Conservative","Hendon",9832,7
"Darren George Henry","@DarrenG_Henry","Conservative","Broxtowe",9822,2
"James Cartlidge ","@jc4southsuffolk","Conservative","South Suffolk",9618,5
"Robert Courts ","@robertcourts","Conservative","Witney",9579,-2
"Craig Whittaker ","@CWhittaker_MP","Conservative","Calder Valley",9576,0
"Marcus Jones ","@Marcus4Nuneaton","Conservative","Nuneaton",9528,2
"Mark Tami ","@MarkTamiMP","Labour","Alyn and Deeside",9502,7
"Mary Robinson ","@MaryRobinson01","Conservative","Cheadle",9467,2
"Eleanor Laing ","@eleanor4epping","Conservative","Epping Forest",9462,3
"Matt Western","@MattWestern_","Labour","Warwick and Leamington",9396,6
"Tom Hunt","@tomhunt1988","Conservative","Ipswich",9386,0
"Sarah Green","@SarahGreenLD","Liberal Democrat","Chesham and Amersham",9355,3
"Johnny McNally","@JohnMcNallySNP","Scottish National Party","Falkirk",9268,0
"Beth Winter","@BethWinterMP","Labour","Cynon Valley",9253,0
"Carla Lockhart","@carlalockhart","Democratic Unionist Party","Upper Bann",9195,-1
"Craig Tracey ","@craig4nwarks","Conservative","North Warwickshire",9186,5
"Paul Bristow","@paulbristow79","Conservative","Peterborough",9060,4
"Tony Lloyd","@tony4rochdale","Labour","Rochdale",9001,2
"Kate Hollern ","@Kate_HollernMP","Labour","Blackburn",9001,4
"Lucy Frazer ","@lucyfrazermp","Conservative","South East Cambridgeshire",8974,2
"John Whittingdale ","@JWhittingdale","Conservative","Maldon",8734,-1
"James Morris","@JamesMorris","Conservative","Halesowen and Rowley Regis",8723,1
"Scott Mann ","@scottmann4NC","Conservative","North Cornwall",8656,2
"James Murray","@jamesmurray_ldn","Labour","Ealing North",8582,-2
"Jack Lopresti ","@JackLopresti","Conservative","Filton and Bradley Stoke",8529,1
"Luke Evans","@drlukeevans","Conservative","Bosworth",8512,-3
"Richard Holden","@RicHolden","Conservative","North West Durham",8349,0
"Dr Alan Whitehead ","@alanwhiteheadmp","Labour","Southampton, Test",8198,0
"Ben Lake","@BenMLake","Plaid Cymru","Ceredigion",8179,4
"Alex Davies-Jones","@AlexDaviesJones","Labour","Pontypridd",8175,1
"Nicola Faye Richards","@Nicola4WBE","Conservative","West Bromwich East",8131,0
"Órfhlaith Begley","@OrfhlaithBegley","Sinn Féin","West Tyrone",7922,1
"Rachel Hopkins","@rach_hopkins","Labour","Luton South",7894,5
"Royston Smith ","@Royston_Smith","Conservative","Southampton, Itchen",7890,3
"Valerie Vaz ","@Valerie_VazMP","Labour","Walsall South",7841,0
"Francie Molloy ","@FrancieMolloy","Sinn Féin","Mid Ulster",7760,0
"Kevin Foster ","@kevin_j_foster","Conservative","Torbay",7744,-2
"Owen Thompson ","@OwenThompson","Scottish National Party","Midlothian",7680,2
"John Howell ","@JHowellUK","Conservative","Henley",7644,1
"Alex Norris","@AlexNorrisNN","Labour","Nottingham North",7554,0
"Claire Coutinho","@ClaireCoutinho","Conservative","East Surrey",7531,3
"Angela Richardson","@AJRichardsonMP","Conservative","Guildford",7506,7
"Theo Clarke","@theodoraclarke","Conservative","Stafford",7472,1
"Ben Everitt","@Ben_Everitt","Conservative","Milton Keynes North",7470,0
"Mark Pawsey ","@MarkPawsey","Conservative","Rugby",7425,4
"Elliot Colburn","@ElliotColburn","Conservative","Carshalton and Wallington",7380,-2
"Saqib Bhatti","@bhatti_saqib","Conservative","Meriden",7141,3
"Sarah Atherton","@AthertonNWales","Conservative","Wrexham",7096,2
"Derek Twigg ","@DerekTwiggMP","Labour","Halton",7096,0
"Gerald Jones ","@GeraldJonesLAB","Labour","Merthyr Tydfil and Rhymney",7068,-1
"Stephen Metcalfe ","@Metcalfe_SBET","Conservative","South Basildon and East Thurrock",7016,5
"Gareth Davies","@GarethDavies_MP","Conservative","Grantham and Stamford",6994,1
"Greg Smith","@gregsmith_uk","Conservative","Buckingham",6939,-1
"Paul Holmes","@pauljholmes","Conservative","Eastleigh",6917,8
"Mike Wood ","@mikejwood","Conservative","Dudley South",6846,2
"Leo Docherty","@LeoDochertyUK","Conservative","Aldershot",6770,0
"Rebecca Harris ","@RebeccaHarrisMP","Conservative","Castle Point",6758,3
"Chris Evans","@Chris_EvansMP","Labour","Islwyn",6739,3
"Natalie Elphicke","@NatalieElphicke","Conservative","Dover",6681,3
"Matt Rodda","@MattRodda","Labour","Reading East",6678,4
"Khalid Mahmood","@khalid4PB","Labour","Birmingham, Perry Barr",6668,4
"Laura Farris","@Laura__Farris","Conservative","Newbury",6633,2
"Neil Parish ","@neil_parish","Conservative","Tiverton and Honiton",6619,3
"Stuart Paul Anderson","@Stuart4WolvesSW","Conservative","Wolverhampton South West",6554,-1
"Alan Campbell ","@alancampbellmp","Labour","Tynemouth",6527,0
"Edward Timpson","@edwardtimpson","Conservative","Eddisbury",6491,1
"Gill Furniss ","@GillFurnissMP","Labour","Sheffield, Brightside and Hillsborough",6483,1
"Fabian Hamilton","@FabianLeedsNE","Labour","Leeds North East",6467,4
"Roger Gale","@SirRogerGale","Conservative","North Thanet",6440,-2
"Julia Lopez","@JuliaLopezMP","Conservative","Hornchurch and Upminster",6417,3
"Paul Girvan","@PaulGirvanMP","Democratic Unionist Party","South Antrim",6359,0
"Ruth Jones","@RuthNewportWest","Labour","Newport West",6305,4
"Neale Hanvey","@JNHanvey","Scottish National Party","Kirkcaldy and Cowdenbeath",6254,14
"Dr Caroline Johnson ","@drcarolinej","Conservative","Sleaford and North Hykeham",6244,1
"Mel Stride","@MelJStride","Conservative","Central Devon",6234,0
"Robert Largan","@robertlargan","Conservative","High Peak",6152,1
"Simon Jupp","@simonjamesjupp","Conservative","East Devon",6130,1
"David Duguid","@david_duguid","Conservative","Banff and Buchan",6126,1
"Fay Alicia Jones","@JonesyFay","Conservative","Brecon and Radnorshire",6051,0
"Imran Nasir Ahmad Khan","@imranahmadkhan","Conservative","Wakefield",6050,-1
"Felicity Buchan","@FelicityBuchan","Conservative","Kensington",6006,0
"Wendy Chamberlain","@wendychambLD","Liberal Democrat","North East Fife",5957,-1
"Caroline Ansell ","@Caroline_Ansell","Conservative","Eastbourne",5954,3
"Matt Vickers","@Matt_VickersMP","Conservative","Stockton South",5953,-1
"Chris Loder","@chrisloder","Conservative","West Dorset",5951,2
"James Davies","@JamesDavies","Conservative","Vale of Clwyd",5883,2
"John Cryer","@JohnCryerMP","Labour","Leyton and Wanstead",5837,2
"Alexander Stafford","@Alex_Stafford","Conservative","Rother Valley",5803,0
"Stephen Flynn","@StephenFlynnSNP","Scottish National Party","Aberdeen South",5729,10
"Gareth Bacon","@GarethBaconMP","Conservative","Orpington",5697,6
"Chris Clarkson","@ChrisClarksonMP","Conservative","Heywood and Middleton",5596,3
"Anthony Mangnall","@AnthonyMangnal1","Conservative","Totnes",5510,3
"Amanda Solloway ","@ASollowayUK","Conservative","Derby North",5505,3
"Sara Britcliffe","@SarBritcliffeMP","Conservative","Hyndburn",5455,1
"Nigel Mills ","@nigelmills","Conservative","Amber Valley",5351,0
"Craig Williams ","@craig4monty","Conservative","Montgomeryshire",5319,1
"Derek Thomas ","@DerekThomasUK","Conservative","St Ives",5273,1
"Andy Carter","@MrAndy_Carter","Conservative","Warrington South",5270,0
"Mark Jenkinson","@markjenkinsonmp","Conservative","Workington",5261,6
"Mickey Brady ","@MickeyBradySF","Sinn Féin","Newry and Armagh",5180,1
"Luke Hall ","@LukeHall","Conservative","Thornbury and Yate",5066,3
"Mark Hendrick","@MpHendrick","Labour","Preston",5057,0
"Aaron Bell","@AaronBell4NUL","Conservative","Newcastle-under-Lyme",4990,2
"Robbie Moore","@_RobbieMoore","Conservative","Keighley",4888,0
"Andrew Lewer","@ALewerMBE","Conservative","Northampton South",4804,-1
"Gary Streeter ","@garystreeterSWD","Conservative","South West Devon",4745,-1
"David Amess","@amessd_southend","Conservative","Southend West",4732,4
"Christian Wakeford","@Christian4BuryS","Conservative","Bury South",4723,2
"Ben Spencer","@DrBenSpencer","Conservative","Runnymede and Weybridge",4694,3
"Scott Lloyd Benton","@ScottBentonMP","Conservative","Blackpool South",4660,0
"Jane Stevenson","@Jane_Stevenson_","Conservative","Wolverhampton North East",4627,1
"James Daly","@JamesDalyMP","Conservative","Bury North",4623,4
"Mark Eastwood","@mark4dewsbury","Conservative","Dewsbury",4553,2
"Gary Sambrook","@GarySambrook89","Conservative","Birmingham, Northfield",4447,3
"Andrew Griffith","@griffitha","Conservative","Arundel and South Downs",4394,-3
"Simon Baynes","@baynes_simon","Conservative","Clwyd South",4360,3
"Suzanne Webb","@Q66Suzi","Conservative","Stourbridge",4348,0
"Alex Burghart","@alexburghart","Conservative","Brentwood and Ongar",4340,1
"Giles Watling","@GilesWatling","Conservative","Clacton",4330,-2
"Anthony Browne","@ab4scambs","Conservative","South Cambridgeshire",4289,4
"Liz Twist","@LizTwistMP","Labour","Blaydon",4233,-3
"Shailesh Vara","@ShaileshVara","Conservative","North West Cambridgeshire",4230,1
"Julie Marson","@JulieMarsonMP","Conservative","Hertford and Stortford",4137,4
"Jo Gideon","@jogideon","Conservative","Stoke-on-Trent Central",4088,1
"Laurence Robertson ","@lrobertsonTewks","Conservative","Tewkesbury",4072,3
"Simon Fell","@simonfell","Conservative","Barrow and Furness",4035,1
"Ruth Edwards","@RuthEdwardsMP","Conservative","Rushcliffe",4032,2
"Gagan Mohindra","@gaganmohindra","Conservative","South West Hertfordshire",4017,7
"Kieran John Mullan","@KieranMullanUK","Conservative","Crewe and Nantwich",3997,1
"Dave Doogan","@DaveDooganSNP","Scottish National Party","Angus",3984,1
"Selaine Saxby","@SelaineSaxby","Conservative","North Devon",3967,3
"Tom Randall","@Tom_Randall","Conservative","Gedling",3815,2
"Katherine Fletcher","@K_Fletcher_MP","Conservative","South Ribble",3809,1
"Shaun Bailey","@Shaun4WBW","Conservative","West Bromwich West",3735,3
"Dean Russell","@dean4watford","Conservative","Watford",3683,2
"Marco Longhi","@marcolonghi4dn","Conservative","Dudley North",3682,0
"Steven Bonnar","@StevenBonnarSNP","Scottish National Party","Coatbridge, Chryston and Bellshill",3624,0
"Sally-Ann Hart","@SallyAnn1066","Conservative","Hastings and Rye",3595,2
"Antony Higginbotham","@antony_hig","Conservative","Burnley",3569,3
"David Simmonds","@DSimmonds_RNP","Conservative","Ruislip, Northwood and Pinner",3407,1
"Neil Hudson","@DrNeilHudson","Conservative","Penrith and The Border",3375,2
"Duncan Charles Baker","@duncancbaker","Conservative","North Norfolk",3349,4
"Lia Nici","@lia_nici","Conservative","Great Grimsby",3287,2
"Jill Mortimer","@Jill4Hartlepool","Conservative","Hartlepool",3247,1
"Peter Gibson","@Gibbo4Darlo","Conservative","Darlington",3208,3
"Brendan Clarke-Smith","@Bren4Bassetlaw","Conservative","Bassetlaw",3205,4
"James Sunderland","@JamesSunderl","Conservative","Bracknell",3199,2
"Robin John Millar","@RobinMillarMP","Conservative","Aberconwy",3134,1
"Jane Hunt","@JaneMHunt","Conservative","Loughborough",3133,1
"Tahir Ali","@TahirAliMP","Labour","Birmingham, Hall Green",3105,7
"Richard Gordon Thomson","@RThomsonMP","Scottish National Party","Gordon",3057,2
"Jim Shannon ","@JimShannonMP","Democratic Unionist Party","Strangford",2951,0
"Nicholas Fletcher","@NickFletcherMP","Conservative","Don Valley",2936,0
"Nickie Aiken","@twocitiesnickie","Conservative","Cities of London and Westminster",2902,5
"Cherilyn Mackrory","@thisischerilyn","Conservative","Truro and Falmouth",2890,4
"Mohammad Yasin","@YasinForBedford","Labour","Bedford",2741,1
"Paul Howell","@PaulHowellMP","Conservative","Sedgefield",2717,2
"James Wild","@jamesowild","Conservative","North West Norfolk",2664,4
"Jamie Hamilton Wallis","@JamieWallisMP","Conservative","Bridgend",2593,1
"David Johnston","@david4wantage","Conservative","Wantage",2507,0
"Jonathan Lord","@JonathanLord","Conservative","Woking",2469,6
"Jerome Mayhew","@JeromeMayhew","Conservative","Broadland",2367,3
"Julian Sturdy","@JulianSturdy","Conservative","York Outer",2061,0
"Ranil Jayawardena ","@TeamRanil","Conservative","North East Hampshire",2058,1
"Sarah Dines","@Dines4Dales","Conservative","Derbyshire Dales",1717,1
"Richard Bacon","@richardbaconmp","Conservative","South Norfolk",1572,1
"Maggie Throup ","@maggie_erewash","Conservative","Erewash",1380,1
"Rob Butler","@AylesburyTories","Conservative","Aylesbury",1041,0
"Mary Glindon","@GlindonMary","Labour","North Tyneside",917,5
"Lee Anderson","@LeeAndersonMP","Conservative","Ashfield",150,-1